Sample 1 - CPU:   5.80 - MEM: 256.15
Sample 2 - CPU:   5.80 - MEM: 256.18
Sample 3 - CPU:   5.80 - MEM: 256.21
Sample 4 - CPU:   5.80 - MEM: 256.21
Sample 5 - CPU:   5.80 - MEM: 256.21
Sample 6 - CPU:   5.80 - MEM: 256.40
Sample 7 - CPU:   5.80 - MEM: 256.43
Sample 8 - CPU:   5.90 - MEM: 256.43
Sample 9 - CPU:   5.90 - MEM: 256.38
Sample 10 - CPU:   5.90 - MEM: 256.38
Sample 11 - CPU:   5.90 - MEM: 256.38
Sample 12 - CPU:   5.90 - MEM: 256.38
Sample 13 - CPU:   5.90 - MEM: 256.38
Sample 14 - CPU:   5.90 - MEM: 256.38
Sample 15 - CPU:   5.90 - MEM: 256.38
Sample 16 - CPU:   5.90 - MEM: 256.38
Sample 17 - CPU:   5.90 - MEM: 256.38
Sample 18 - CPU:   5.90 - MEM: 256.38
Sample 19 - CPU:   5.90 - MEM: 256.38
Sample 20 - CPU:   5.90 - MEM: 256.38
Sample 21 - CPU:   5.90 - MEM: 256.38
Sample 22 - CPU:   5.90 - MEM: 256.38
Sample 23 - CPU:   5.90 - MEM: 256.38
Sample 24 - CPU:   5.90 - MEM: 256.38
Sample 25 - CPU:   5.90 - MEM: 256.38
Sample 26 - CPU:   5.90 - MEM: 256.38
Sample 27 - CPU:   5.90 - MEM: 256.38
Sample 28 - CPU:   5.90 - MEM: 256.38
Sample 29 - CPU:   5.90 - MEM: 256.38
Sample 30 - CPU:   5.90 - MEM: 256.38
Sample 31 - CPU:   5.90 - MEM: 256.38
Sample 32 - CPU:   5.90 - MEM: 256.38
Sample 33 - CPU:   5.90 - MEM: 256.38
Sample 34 - CPU:   5.90 - MEM: 256.38
Sample 35 - CPU:   5.90 - MEM: 256.38
Sample 36 - CPU:   5.80 - MEM: 256.38
Sample 37 - CPU:   5.80 - MEM: 256.38
Sample 38 - CPU:   5.80 - MEM: 256.38
Sample 39 - CPU:   5.80 - MEM: 256.38
Sample 40 - CPU:   5.80 - MEM: 256.38
Sample 41 - CPU:   5.80 - MEM: 256.38
Sample 42 - CPU:   5.80 - MEM: 256.38
Sample 43 - CPU:   5.80 - MEM: 256.38
Sample 44 - CPU:   5.80 - MEM: 256.38
Sample 45 - CPU:   5.80 - MEM: 256.38
Sample 46 - CPU:   5.80 - MEM: 256.38
Sample 47 - CPU:   5.80 - MEM: 256.38
Sample 48 - CPU:   5.80 - MEM: 256.38
Sample 49 - CPU:   5.80 - MEM: 256.38
Sample 50 - CPU:   5.80 - MEM: 256.38
Sample 51 - CPU:   5.80 - MEM: 256.38
Sample 52 - CPU:   5.80 - MEM: 256.38
Sample 53 - CPU:   5.80 - MEM: 256.38
Sample 54 - CPU:   5.80 - MEM: 256.38
Sample 55 - CPU:   5.80 - MEM: 256.38
Sample 56 - CPU:   5.80 - MEM: 256.38
Sample 57 - CPU:   5.80 - MEM: 256.38
Sample 58 - CPU:   5.80 - MEM: 256.38
Sample 59 - CPU:   5.80 - MEM: 256.38
