Sample 1 - CPU:   6.40 - MEM: 258.47
Sample 2 - CPU:   6.40 - MEM: 258.50
Sample 3 - CPU:   6.40 - MEM: 258.52
Sample 4 - CPU:   6.40 - MEM: 258.52
Sample 5 - CPU:   6.40 - MEM: 258.52
Sample 6 - CPU:   6.40 - MEM: 258.52
Sample 7 - CPU:   6.40 - MEM: 258.52
Sample 8 - CPU:   6.40 - MEM: 258.52
Sample 9 - CPU:   6.40 - MEM: 258.52
Sample 10 - CPU:   6.40 - MEM: 258.52
Sample 11 - CPU:   6.40 - MEM: 258.48
Sample 12 - CPU:   6.40 - MEM: 258.48
Sample 13 - CPU:   6.40 - MEM: 258.48
Sample 14 - CPU:   6.40 - MEM: 258.48
Sample 15 - CPU:   6.40 - MEM: 258.48
Sample 16 - CPU:   6.40 - MEM: 258.48
Sample 17 - CPU:   6.40 - MEM: 258.48
Sample 18 - CPU:   6.40 - MEM: 258.48
Sample 19 - CPU:   6.40 - MEM: 258.48
Sample 20 - CPU:   6.40 - MEM: 258.48
Sample 21 - CPU:   6.40 - MEM: 258.48
Sample 22 - CPU:   6.40 - MEM: 258.48
Sample 23 - CPU:   6.40 - MEM: 258.48
Sample 24 - CPU:   6.40 - MEM: 258.48
Sample 25 - CPU:   6.40 - MEM: 258.48
Sample 26 - CPU:   6.40 - MEM: 258.48
Sample 27 - CPU:   6.40 - MEM: 258.48
Sample 28 - CPU:   6.40 - MEM: 258.48
Sample 29 - CPU:   6.40 - MEM: 258.48
Sample 30 - CPU:   6.40 - MEM: 258.48
Sample 31 - CPU:   6.40 - MEM: 258.48
Sample 32 - CPU:   6.40 - MEM: 258.48
Sample 33 - CPU:   6.40 - MEM: 258.48
Sample 34 - CPU:   6.40 - MEM: 258.48
Sample 35 - CPU:   6.40 - MEM: 258.48
Sample 36 - CPU:   6.40 - MEM: 258.48
Sample 37 - CPU:   6.40 - MEM: 258.48
Sample 38 - CPU:   6.40 - MEM: 258.48
Sample 39 - CPU:   6.40 - MEM: 258.48
Sample 40 - CPU:   6.40 - MEM: 258.48
Sample 41 - CPU:   6.40 - MEM: 258.48
Sample 42 - CPU:   6.40 - MEM: 258.48
Sample 43 - CPU:   6.40 - MEM: 258.48
Sample 44 - CPU:   6.40 - MEM: 258.48
Sample 45 - CPU:   6.40 - MEM: 258.48
Sample 46 - CPU:   6.40 - MEM: 258.48
Sample 47 - CPU:   6.40 - MEM: 258.48
Sample 48 - CPU:   6.40 - MEM: 258.48
Sample 49 - CPU:   6.40 - MEM: 258.48
Sample 50 - CPU:   6.40 - MEM: 258.48
Sample 51 - CPU:   6.40 - MEM: 258.48
Sample 52 - CPU:   6.40 - MEM: 258.48
Sample 53 - CPU:   6.40 - MEM: 258.48
Sample 54 - CPU:   6.40 - MEM: 258.48
Sample 55 - CPU:   6.40 - MEM: 258.48
Sample 56 - CPU:   6.40 - MEM: 258.48
Sample 57 - CPU:   6.40 - MEM: 258.48
Sample 58 - CPU:   6.40 - MEM: 258.48
