Sample 1 - CPU:  89.30 - MEM: 290.29
Sample 2 - CPU:  88.60 - MEM: 290.29
Sample 3 - CPU:  89.10 - MEM: 290.29
Sample 4 - CPU:  88.60 - MEM: 290.29
Sample 5 - CPU:  89.10 - MEM: 290.29
Sample 6 - CPU:  88.60 - MEM: 290.29
Sample 7 - CPU:  89.10 - MEM: 290.29
Sample 8 - CPU:  88.50 - MEM: 290.29
Sample 9 - CPU:  89.00 - MEM: 290.29
Sample 10 - CPU:  88.60 - MEM: 290.29
Sample 11 - CPU:  89.00 - MEM: 290.29
Sample 12 - CPU:  88.40 - MEM: 290.29
Sample 13 - CPU:  88.90 - MEM: 290.29
Sample 14 - CPU:  88.50 - MEM: 290.30
Sample 15 - CPU:  89.00 - MEM: 290.30
Sample 16 - CPU:  88.60 - MEM: 290.30
Sample 17 - CPU:  89.10 - MEM: 290.30
Sample 18 - CPU:  88.60 - MEM: 290.30
Sample 19 - CPU:  89.00 - MEM: 290.30
Sample 20 - CPU:  88.70 - MEM: 290.30
Sample 21 - CPU:  88.20 - MEM: 290.30
Sample 22 - CPU:  88.60 - MEM: 290.30
Sample 23 - CPU:  88.20 - MEM: 290.30
Sample 24 - CPU:  88.60 - MEM: 290.30
Sample 25 - CPU:  88.20 - MEM: 290.30
Sample 26 - CPU:  88.60 - MEM: 290.30
Sample 27 - CPU:  88.20 - MEM: 290.30
Sample 28 - CPU:  88.60 - MEM: 290.30
Sample 29 - CPU:  88.20 - MEM: 290.30
Sample 30 - CPU:  88.60 - MEM: 290.30
Sample 31 - CPU:  88.20 - MEM: 290.30
Sample 32 - CPU:  88.70 - MEM: 290.30
Sample 33 - CPU:  88.30 - MEM: 290.30
Sample 34 - CPU:  88.70 - MEM: 290.30
Sample 35 - CPU:  88.20 - MEM: 290.30
Sample 36 - CPU:  88.60 - MEM: 290.30
Sample 37 - CPU:  88.20 - MEM: 290.30
Sample 38 - CPU:  88.60 - MEM: 290.30
Sample 39 - CPU:  88.20 - MEM: 290.30
Sample 40 - CPU:  88.60 - MEM: 290.30
Sample 41 - CPU:  88.20 - MEM: 290.30
Sample 42 - CPU:  88.60 - MEM: 290.30
Sample 43 - CPU:  88.20 - MEM: 290.30
Sample 44 - CPU:  88.50 - MEM: 290.30
Sample 45 - CPU:  88.00 - MEM: 290.30
Sample 46 - CPU:  88.50 - MEM: 290.30
Sample 47 - CPU:  88.10 - MEM: 290.30
Sample 48 - CPU:  88.40 - MEM: 290.30
Sample 49 - CPU:  88.00 - MEM: 290.30
Sample 50 - CPU:  88.40 - MEM: 290.30
Sample 51 - CPU:  87.90 - MEM: 290.30
Sample 52 - CPU:  88.20 - MEM: 290.30
Sample 53 - CPU:  87.70 - MEM: 290.30
Sample 54 - CPU:  87.20 - MEM: 290.30
Sample 55 - CPU:  87.50 - MEM: 290.30
Sample 56 - CPU:  87.00 - MEM: 290.30
Sample 57 - CPU:  87.40 - MEM: 290.30
Sample 58 - CPU:  87.10 - MEM: 290.30
Sample 59 - CPU:  87.40 - MEM: 290.30
